threshold,precision,recall,f1,tp,fp,notes_found,total_linked,top1_recall,top3_recall,batch
0.7,0.813953488372093,0.9722222222222222,0.8860759493670887,35,8,35,36,1.0,1.0,1
0.71,0.875,0.9722222222222222,0.9210526315789473,35,5,35,36,1.0,1.0,1
0.72,0.9210526315789473,0.9722222222222222,0.9459459459459458,35,3,35,36,1.0,1.0,1
0.73,0.9210526315789473,0.9722222222222222,0.9459459459459458,35,3,35,36,1.0,1.0,1
0.74,0.9210526315789473,0.9722222222222222,0.9459459459459458,35,3,35,36,1.0,1.0,1
0.75,0.9210526315789473,0.9722222222222222,0.9459459459459458,35,3,35,36,1.0,1.0,1
0.76,0.9722222222222222,0.9722222222222222,0.9722222222222222,35,1,35,36,1.0,1.0,1
0.77,0.9722222222222222,0.9722222222222222,0.9722222222222222,35,1,35,36,1.0,1.0,1
0.78,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.79,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.8,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.81,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.8200000000000001,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.8300000000000001,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.8400000000000001,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.8500000000000001,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.8600000000000001,1.0,0.9722222222222222,0.9859154929577464,35,0,35,36,1.0,1.0,1
0.7,0.6904761904761905,0.8,0.7412140575079873,29,13,28,35,0.8857142857142857,0.9142857142857143,2
0.71,0.6904761904761905,0.8,0.7412140575079873,29,13,28,35,0.8857142857142857,0.9142857142857143,2
0.72,0.725,0.8,0.760655737704918,29,11,28,35,0.8857142857142857,0.9142857142857143,2
0.73,0.7631578947368421,0.8,0.7811447811447813,29,9,28,35,0.8857142857142857,0.9142857142857143,2
0.74,0.7777777777777778,0.7714285714285715,0.7745901639344264,28,8,27,35,0.8857142857142857,0.9142857142857143,2
0.75,0.8235294117647058,0.7714285714285715,0.7966280295047418,28,6,27,35,0.8857142857142857,0.9142857142857143,2
0.76,0.8235294117647058,0.7714285714285715,0.7966280295047418,28,6,27,35,0.8857142857142857,0.9142857142857143,2
0.77,0.8484848484848485,0.7714285714285715,0.8081239978621058,28,5,27,35,0.8857142857142857,0.9142857142857143,2
0.78,0.9032258064516129,0.7714285714285715,0.8321408915795266,28,3,27,35,0.8857142857142857,0.9142857142857143,2
0.79,0.9032258064516129,0.7714285714285715,0.8321408915795266,28,3,27,35,0.8857142857142857,0.9142857142857143,2
0.8,0.9032258064516129,0.7714285714285715,0.8321408915795266,28,3,27,35,0.8857142857142857,0.9142857142857143,2
