transaction_id,date,client_id,amount_chf,original_currency,direction,type,counterparty_bank,counterparty_entity
TR00000001,2025-07-10,CL000001,5065.35,GBP,Credit,Wire Transfer,GGOCJP03,International Investments
TR00000002,2025-07-10,CL000001,6110.5,CHF,Credit,Wire Transfer,GCGOSDFO,Omega Capital
TR00000003,2025-07-13,CL000001,2028.94,CHF,Credit,Wire Transfer,EKMRBYO1,First Partners
TR00000004,2025-07-12,CL000001,10383.25,EUR,Credit,Wire Transfer,NEGKVETI,Omega Capital
TR00000005,2025-07-12,CL000001,9230.37,GBP,Credit,Wire Transfer,OHZDZW1V,Beta Investments
TR00000006,2025-07-13,CL000001,3057.83,CHF,Credit,Wire Transfer,ITJTYE3J,Omega AG
TR00000007,2025-07-10,CL000001,34913.7,JPY,Credit,Wire Transfer,MKRUSY04,Global Partners
TR00000008,2025-07-14,CL000001,4262.22,JPY,Debit,Wire Transfer,MTWDUSFY,Omega Capital
TR00000009,2025-07-16,CL000001,67300.05,USD,Debit,Wire Transfer,JGHPVE5U,Omega Group
TR00000010,2025-07-15,CL000001,1495.52,EUR,Debit,Wire Transfer,YRCXUS11,Global GmbH
TR00000011,2024-10-10,CL000001,1098.53,CNY,Debit,Wire Transfer,JGHPVE5U,International Limited
TR00000012,2024-10-11,CL000001,562.67,GBP,Debit,Security,ZNDRJP8F,Beta Capital
TR00000013,2024-11-02,CL000001,111.61,CHF,Credit,Cash,LJXLMMFG,First Financial GmbH
TR00000014,2024-11-04,CL000001,1161.54,USD,Debit,Wire Transfer,NEXWCAKX,Elite Holdings
TR00000015,2024-10-26,CL000001,1216.31,CHF,Credit,Cheque,EKMRBYO1,Beta Group
TR00000016,2024-10-23,CL000001,1687.64,AUD,Debit,Wire Transfer,SSKLDEK5,Alpha Capital
TR00000017,2024-10-15,CL000001,1467.3,CNY,Credit,Cheque,JGHPVE5U,Global Group
TR00000018,2024-10-09,CL000001,1921.1,USD,Debit,Wire Transfer,PATVBYU1,Alpha Holdings
TR00000019,2024-10-31,CL000001,4281.15,USD,Credit,Wire Transfer,CLWESYJL,Elite Corp
TR00000020,2024-10-30,CL000001,1934.84,AUD,Credit,Wire Transfer,JBRISGL4,Beta Trading
TR00000021,2024-10-13,CL000001,1030.33,USD,Debit,Cash,,
TR00000022,2024-10-10,CL000001,1103.21,CHF,Credit,Wire Transfer,RVUFGBBL,Global GmbH
TR00000023,2024-10-27,CL000001,858.1,JPY,Debit,Security,KVHFHK2V,International Trading
TR00000024,2024-10-11,CL000001,770.4,EUR,Debit,Security,ZNDRJP8F,Alpha Group
TR00000025,2024-10-06,CL000001,1277.8,EUR,Debit,Wire Transfer,IGYHVEQ1,Prime Wealth Capital
TR00000026,2024-11-18,CL000001,530.51,EUR,Credit,Wire Transfer,SHIKSGOK,United Holdings
TR00000027,2024-11-07,CL000001,173.51,GBP,Credit,Wire Transfer,DDROYEHZ,Global Group
TR00000028,2024-11-06,CL000001,153.64,CHF,Credit,Wire Transfer,JKDRIR64,Global GmbH
TR00000029,2024-11-23,CL000001,450.96,CHF,Credit,Wire Transfer,TEPTYEE3,Global Commerce AG
TR00000030,2024-11-28,CL000001,465.6,USD,Credit,Wire Transfer,BIBMSE7T,Omega Trade Limited
TR00000031,2024-11-10,CL000001,950.09,CHF,Credit,Wire Transfer,GQTNKPWJ,Global Holdings
TR00000032,2024-12-04,CL000001,1529.97,USD,Credit,Security,HYQTSODA,Beta Trading
TR00000033,2024-11-11,CL000001,868.99,USD,Debit,Wire Transfer,OITLIR36,Global Corp
TR00000034,2024-11-16,CL000001,6145.68,CHF,Credit,Wire Transfer,HMIZSOJ5,Global Partners
TR00000035,2024-12-04,CL000001,1870.74,USD,Credit,Wire Transfer,XEBLLUS3,Elite AG
TR00000036,2024-11-10,CL000001,167.37,CHF,Credit,Wire Transfer,LJXLMMFG,First Financial Corp
TR00000037,2024-11-16,CL000001,271.31,CHF,Credit,Wire Transfer,WKQEAT75,Global AG
TR00000038,2024-11-13,CL000001,604.27,CHF,Credit,Wire Transfer,ILRNHK28,Premier Capital
TR00000039,2024-11-28,CL000001,1758.98,USD,Credit,Wire Transfer,NQQXMM1Q,First Corp
TR00000040,2024-11-13,CL000001,2737.64,CHF,Credit,Wire Transfer,LJNIAF43,Alpha Corp
TR00000041,2024-11-05,CL000001,1763.29,AUD,Debit,Security,CLWESYJL,Beta Commerce Limited
TR00000042,2024-11-05,CL000001,801.04,CHF,Debit,Wire Transfer,MYHKSY64,Prime Corp
TR00000043,2024-11-26,CL000001,1206.1,CHF,Debit,Wire Transfer,PNYFNOZI,Premier Trading
TR00000044,2024-11-08,CL000001,1418.39,USD,Debit,Wire Transfer,JGHPVE5U,Alpha Financial Investments
TR00000045,2024-12-04,CL000001,342.2,USD,Debit,Cash,,
TR00000046,2024-12-02,CL000001,4437.51,CHF,Credit,Wire Transfer,SKRJJP6Q,Global GmbH
TR00000047,2024-11-25,CL000001,570.25,GBP,Debit,Wire Transfer,PNYFNOZI,Omega Limited
TR00000048,2024-11-21,CL000001,11053.36,CHF,Credit,Wire Transfer,RFDYAUUR,Prime Wealth Corp
TR00000049,2025-01-02,CL000001,6411.92,CHF,Credit,Wire Transfer,VKBQZWBF,Prime Capital
TR00000050,2025-01-01,CL000001,1393.61,CAD,Debit,Security,PKPMUSJT,Prime Group
TR00000051,2024-12-06,CL000001,3186.95,CHF,Debit,Wire Transfer,SYNMCUCB,First Trading
TR00000052,2024-12-18,CL000001,131.13,CHF,Credit,Security,HTOHCUEY,Prime Investments
TR00000053,2024-12-19,CL000001,605.01,GBP,Debit,Security,RMEFSEC0,Elite Wealth GmbH
TR00000054,2024-12-10,CL000001,1460.37,EUR,Credit,Cash,CAIRAF8O,Omega Partners
TR00000055,2024-12-13,CL000001,495.93,EUR,Credit,Cash,YRCXUS11,Omega Trading
TR00000056,2024-12-10,CL000001,614.96,USD,Credit,Cheque,PZRADK3K,Prime Financial GmbH
TR00000057,2024-12-10,CL000001,15948.05,USD,Debit,Wire Transfer,PDTOCA2T,International Financial AG
TR00000058,2024-12-15,CL000001,10161.02,CHF,Credit,Cash,VZMKBYLD,Omega Group
TR00000059,2024-12-08,CL000001,428.34,EUR,Debit,Wire Transfer,ZVWAAT0L,International Financial GmbH
TR00000060,2024-12-27,CL000001,440.5,GBP,Credit,Wire Transfer,PIULLU9E,First Limited
TR00000061,2024-12-13,CL000001,209.06,CHF,Credit,Wire Transfer,GQTNKPWJ,Prime Partners
TR00000062,2024-12-22,CL000001,469.91,EUR,Debit,Wire Transfer,ZNDRJP8F,International Limited
TR00000063,2024-12-25,CL000001,551.06,CNY,Debit,Security,WPSBFRIK,Alpha Holdings
TR00000064,2024-12-14,CL000001,172.6,CHF,Credit,Wire Transfer,HGSSCUQY,United Trading
TR00000065,2024-12-06,CL000001,6666.05,EUR,Debit,Cash,,
TR00000066,2024-12-16,CL000001,868.65,CHF,Debit,Security,HMIZSOJ5,Beta Limited
TR00000067,2024-12-14,CL000001,1867.5,USD,Credit,Wire Transfer,NPZYJP1Y,Omega Group
TR00000068,2024-12-27,CL000001,425.33,USD,Credit,Wire Transfer,UECLNLPQ,Elite Trading
TR00000069,2024-12-06,CL000001,1478.87,USD,Credit,Cash,QMUCLYHY,United Commerce AG
TR00000070,2024-12-30,CL000001,3343.81,CHF,Credit,Security,TEKHDEH1,Prime AG
TR00000071,2024-12-06,CL000001,1968.4,USD,Credit,Security,ZVZYNL4F,Premier Commerce Trading
TR00000072,2024-12-24,CL000001,365.04,CAD,Debit,Wire Transfer,VZMKBYLD,United AG
TR00000073,2024-12-21,CL000001,692.94,EUR,Credit,Cash,HTOHCUEY,Alpha Financial Investments
TR00000074,2024-12-27,CL000001,269.37,CHF,Credit,Wire Transfer,JFGYFRXV,Prime GmbH
TR00000075,2024-12-09,CL000001,862.6,CHF,Debit,Wire Transfer,HGSSCUQY,Omega Trade Investments
TR00000076,2024-12-19,CL000001,5789.32,CHF,Credit,Cash,CAIRAF8O,Global Corp
TR00000077,2025-01-27,CL000001,2155.01,EUR,Credit,Wire Transfer,CLWESYJL,International Trade GmbH
TR00000078,2025-01-20,CL000001,318.78,EUR,Debit,Security,SSKLDEK5,United Commerce Group
TR00000079,2025-01-12,CL000001,1522.84,CHF,Credit,Wire Transfer,SZNHLYDG,Premier Commerce Limited
TR00000080,2025-01-27,CL000001,609.48,EUR,Credit,Cash,XZNXSYVX,International Asset GmbH
TR00000081,2025-01-22,CL000001,938.9,CHF,Credit,Security,XUFUIRZQ,First Wealth Investments
TR00000082,2025-01-27,CL000001,1157.81,CHF,Credit,Wire Transfer,YRCXUS11,International Holdings
TR00000083,2025-01-15,CL000001,879.8,CHF,Debit,Cash,,
TR00000084,2025-01-19,CL000001,20070.58,CHF,Credit,Wire Transfer,BNWBSEC5,Elite Asset GmbH
TR00000085,2025-01-05,CL000001,713.34,USD,Credit,Security,ZVZYNL4F,United Group
TR00000086,2025-01-27,CL000001,5059.25,USD,Debit,Wire Transfer,PDTOCA2T,Premier Holdings
TR00000087,2025-01-25,CL000001,813.13,CHF,Debit,Cheque,KVHFHK2V,Omega Capital
TR00000088,2025-01-11,CL000001,1429.19,CHF,Credit,Wire Transfer,NQQXMM1Q,Elite Group
TR00000089,2025-01-18,CL000001,504.08,CHF,Debit,Wire Transfer,OITLIR36,International Holdings
TR00000090,2025-01-23,CL000001,610.83,CAD,Credit,Wire Transfer,PTLXIRUZ,International GmbH
TR00000091,2025-01-29,CL000001,1362.58,CHF,Credit,Wire Transfer,ISHGLYEG,Elite Holdings
TR00000092,2025-02-02,CL000001,2305.32,EUR,Debit,Wire Transfer,UECLNLPQ,Alpha Trade Investments
TR00000093,2025-01-13,CL000001,6015.4,USD,Credit,Cash,BNWBSEC5,Premier Capital
TR00000094,2025-01-09,CL000001,69.06,EUR,Credit,Wire Transfer,OHZDZW1V,Prime Financial Corp
TR00000095,2025-01-19,CL000001,1283.22,EUR,Debit,Wire Transfer,ZROKRUGN,Global Investments
TR00000096,2025-01-11,CL000001,250.89,USD,Debit,Security,KFKXKPVZ,Global Investments
TR00000097,2025-02-01,CL000001,478.54,EUR,Debit,Wire Transfer,TRHRHKWD,Alpha Investments
TR00000098,2025-01-22,CL000001,2482.37,EUR,Debit,Wire Transfer,KVHFHK2V,Prime Trading
TR00000099,2025-01-24,CL000001,2548.76,CHF,Debit,Wire Transfer,CHHIKPTE,International AG
TR00000100,2025-01-06,CL000001,218.74,USD,Debit,Wire Transfer,SRZCNLOM,Alpha GmbH
TR00000101,2025-01-28,CL000001,167.18,GBP,Credit,Wire Transfer,JBRISGL4,Premier Commerce Group
TR00000102,2025-01-17,CL000001,653.95,CNY,Credit,Security,UJXHSDVP,Premier AG
TR00000103,2025-01-31,CL000001,462.9,GBP,Credit,Wire Transfer,HPSFDKWJ,Omega Trade GmbH
TR00000104,2025-01-22,CL000001,625.16,EUR,Credit,Security,CHHIKPTE,Global Partners
TR00000105,2025-01-28,CL000001,1707.33,USD,Debit,Wire Transfer,HPMNLYP0,International Limited
TR00000106,2025-02-23,CL000001,685.1,JPY,Credit,Security,FIPFAUHC,Prime Holdings
TR00000107,2025-02-20,CL000001,918.17,CNY,Debit,Wire Transfer,ZVZYNL4F,United Capital
TR00000108,2025-03-04,CL000001,429.93,CHF,Credit,Wire Transfer,PTLXIRUZ,Prime Group
TR00000109,2025-02-14,CL000001,851.86,CHF,Credit,Cash,GQTNKPWJ,Omega GmbH
TR00000110,2025-02-04,CL000001,533.91,USD,Credit,Security,FIPFAUHC,First Investments
TR00000111,2025-02-18,CL000001,1045.29,EUR,Debit,Wire Transfer,UJXHSDVP,International Capital
TR00000112,2025-02-28,CL000001,1992.39,EUR,Credit,Cheque,ITJTYE3J,International Partners
TR00000113,2025-02-22,CL000001,3038.18,USD,Debit,Wire Transfer,DDROYEHZ,Beta Wealth Trading
TR00000114,2025-02-22,CL000001,1107.7,JPY,Debit,Wire Transfer,ESEJFR9X,Beta GmbH
TR00000115,2025-03-04,CL000001,1545.0,CHF,Debit,Wire Transfer,MWXESEAO,Beta Wealth Holdings
TR00000116,2025-02-13,CL000001,594.86,CHF,Credit,Security,CLWESYJL,First Group
TR00000117,2025-02-21,CL000001,675.87,CHF,Debit,Security,CLLYCA5J,Prime GmbH
TR00000118,2025-02-04,CL000001,511.92,USD,Debit,Security,TRHRHKWD,Elite Financial Holdings
TR00000119,2025-02-12,CL000001,1278.06,CHF,Debit,Wire Transfer,KVHFHK2V,Global Trade GmbH
TR00000120,2025-02-13,CL000001,2160.4,CHF,Credit,Wire Transfer,MWXESEAO,International AG
TR00000121,2025-02-15,CL000001,1212.8,CHF,Debit,Wire Transfer,HMIZSOJ5,First Wealth Investments
TR00000122,2025-02-13,CL000001,964.73,EUR,Credit,Wire Transfer,CLWESYJL,Omega Capital
TR00000123,2025-03-03,CL000001,2922.81,CHF,Debit,Wire Transfer,OQXVCUCF,International Capital
TR00000124,2025-02-24,CL000001,2334.07,USD,Debit,Wire Transfer,VZMKBYLD,Omega Corp
TR00000125,2025-03-28,CL000001,367.14,EUR,Credit,Wire Transfer,HMIZSOJ5,Beta Corp
TR00000126,2025-03-22,CL000001,1308.49,CHF,Credit,Wire Transfer,JKDRIR64,International Asset Group
TR00000127,2025-03-21,CL000001,551.32,CHF,Debit,Wire Transfer,OITLIR36,International Capital
TR00000128,2025-04-01,CL000001,362.08,EUR,Debit,Wire Transfer,QFXWAUCI,International Group
TR00000129,2025-03-14,CL000001,838.71,EUR,Credit,Wire Transfer,GFYWGBLX,First Limited
TR00000130,2025-03-05,CL000001,726.38,USD,Credit,Security,QMUCLYHY,Alpha Trading
TR00000131,2025-03-10,CL000001,481.59,GBP,Credit,Security,FIPFAUHC,Elite Investments
TR00000132,2025-03-28,CL000001,3355.63,GBP,Credit,Security,AHFTCHY6,Omega Trading
TR00000133,2025-03-17,CL000001,366.17,EUR,Credit,Wire Transfer,NPZYJP1Y,First Capital
TR00000134,2025-03-08,CL000001,7464.59,CHF,Credit,Wire Transfer,CLLYCA5J,First GmbH
TR00000135,2025-03-29,CL000001,368.62,CNY,Credit,Wire Transfer,PNYFNOZI,Elite GmbH
TR00000136,2025-03-23,CL000001,453.47,USD,Credit,Security,ZNDRJP8F,Alpha Holdings
TR00000137,2025-03-07,CL000001,101.47,CHF,Credit,Cash,WKQEAT75,First AG
TR00000138,2025-03-05,CL000001,1420.77,CHF,Credit,Wire Transfer,RYDDDKDT,Prime Partners
TR00000139,2025-03-31,CL000001,1523.29,JPY,Debit,Cash,,
TR00000140,2025-03-15,CL000001,2084.26,USD,Credit,Security,JFGYFRXV,Elite Commerce Trading
TR00000141,2025-04-01,CL000001,3726.2,CHF,Debit,Security,IGYHVEQ1,United Limited
TR00000142,2025-03-30,CL000001,423.12,CHF,Credit,Wire Transfer,LJXLMMFG,Omega Trading
TR00000143,2025-03-12,CL000001,1792.5,USD,Debit,Wire Transfer,SRZCNLOM,Prime Asset Capital
TR00000144,2025-03-11,CL000001,127.01,EUR,Debit,Security,LZZBNOHJ,Premier Capital
TR00000145,2025-03-07,CL000001,750.13,CHF,Credit,Wire Transfer,XEBLLUS3,United Financial Trading
TR00000146,2025-03-26,CL000001,134.68,USD,Credit,Security,VZMKBYLD,International Partners
TR00000147,2025-04-02,CL000001,1245.99,CHF,Debit,Wire Transfer,MTWDUSFY,Elite Capital
TR00000148,2025-04-19,CL000001,1979.97,CHF,Credit,Wire Transfer,QMUCLYHY,Prime Trading
TR00000149,2025-04-26,CL000001,589.81,CHF,Credit,Security,DKYRSG6W,Alpha GmbH
TR00000150,2025-04-28,CL000001,1634.88,USD,Debit,Security,TRHRHKWD,Beta Corp
TR00000151,2025-04-20,CL000001,619.28,CHF,Credit,Wire Transfer,ORIMVELR,Elite Investments
TR00000152,2025-04-05,CL000001,1760.15,GBP,Debit,Wire Transfer,NQQXMM1Q,Omega Investments
TR00000153,2025-04-30,CL000001,4896.83,CHF,Debit,Wire Transfer,TPAFBYY4,United Trading
TR00000154,2025-04-27,CL000001,982.61,CAD,Debit,Security,WGELNLPK,Omega Capital
TR00000155,2025-05-01,CL000001,253.57,CHF,Credit,Wire Transfer,CGCHFRWN,United Wealth AG
TR00000156,2025-04-08,CL000001,1847.35,EUR,Credit,Wire Transfer,BNWBSEC5,United Corp
TR00000157,2025-04-07,CL000001,364.57,EUR,Credit,Wire Transfer,WPDZAF2M,Alpha Group
TR00000158,2025-04-26,CL000001,3162.7,CHF,Credit,Wire Transfer,UECLNLPQ,Elite Partners
TR00000159,2025-04-14,CL000001,2035.77,JPY,Credit,Cash,GFYWGBLX,Alpha Trading
TR00000160,2025-05-01,CL000001,1195.91,CNY,Credit,Cash,JFGYFRXV,Elite Partners
TR00000161,2025-04-30,CL000001,5036.22,USD,Debit,Wire Transfer,RMEFSEC0,Alpha Capital
TR00000162,2025-04-21,CL000001,234.68,JPY,Credit,Wire Transfer,JHSDSOBB,International Group
TR00000163,2025-04-28,CL000001,1645.67,GBP,Debit,Wire Transfer,HMIZSOJ5,Global Wealth Group
TR00000164,2025-04-19,CL000001,969.89,CNY,Debit,Cash,,
TR00000165,2025-04-20,CL000001,1426.22,GBP,Debit,Security,YGIUHKFB,Beta Partners
TR00000166,2025-04-16,CL000001,183.32,AUD,Debit,Wire Transfer,IGYHVEQ1,Omega Holdings
TR00000167,2025-04-26,CL000001,770.25,EUR,Credit,Wire Transfer,PNYFNOZI,First Holdings
TR00000168,2025-04-09,CL000001,606.22,CHF,Debit,Wire Transfer,SZNHLYDG,United Commerce Corp
TR00000169,2025-04-22,CL000001,1178.27,CHF,Credit,Wire Transfer,GYLWNLTB,Omega AG
TR00000170,2025-04-24,CL000001,587.55,USD,Credit,Cash,JFGYFRXV,Alpha Corp
TR00000171,2025-05-31,CL000001,1392.12,USD,Credit,Wire Transfer,DKYRSG6W,Beta Limited
TR00000172,2025-05-28,CL000001,4037.94,CHF,Debit,Security,RYDDDKDT,Omega Holdings
TR00000173,2025-05-30,CL000001,1061.48,EUR,Credit,Security,MWXESEAO,Global GmbH
TR00000174,2025-05-16,CL000001,582.12,CHF,Credit,Security,IDZEFIPZ,Beta Commerce Capital
TR00000175,2025-05-05,CL000001,287.78,GBP,Credit,Security,ZHQKBE9T,United Group
TR00000176,2025-06-02,CL000001,240.91,GBP,Credit,Wire Transfer,LJXLMMFG,First Corp
