transaction_id,date,client_id,amount_chf,original_currency,direction,type,counterparty_bank,counterparty_entity
TR00001003,2025-02-12,CL000005,8527.46,CHF,Credit,Wire Transfer,,Elite Wealth Capital
TR00001004,2025-02-06,CL000005,6679.94,CHF,Debit,Cash,,Alpha Capital
TR00001005,2025-02-06,CL000005,6692.54,CHF,Credit,Wire Transfer,,Prime Asset Limited
TR00001006,2025-02-06,CL000005,9895.04,CHF,Credit,Cash,,
TR00001007,2025-02-12,CL000005,6750.02,CHF,Debit,Wire Transfer,,
TR00001008,2025-02-11,CL000005,9497.5,CHF,Credit,Cash,XZNXSYVX,United Holdings
TR00001009,2025-02-06,CL000005,9214.34,CHF,Credit,Wire Transfer,TLPJUS9E,Beta Group
TR00001010,2025-02-08,CL000005,8968.33,CHF,Debit,Cash,,
TR00001011,2025-02-11,CL000005,6858.84,CHF,Credit,Wire Transfer,NPZYJP1Y,Omega Holdings
TR00001012,2025-02-07,CL000005,6364.41,CHF,Credit,Cash,,
TR00001013,2025-02-08,CL000005,8327.08,CHF,Debit,Wire Transfer,FIPFAUHC,Prime Wealth Holdings
TR00001014,2025-02-06,CL000005,5542.8,CHF,Credit,Cash,SBRQAFD1,Beta Wealth Holdings
TR00001015,2025-02-08,CL000005,8723.0,CHF,Debit,Wire Transfer,GYLWNLTB,International Trading
TR00001016,2025-02-10,CL000005,5060.09,CHF,Credit,Cash,DNTELYHR,International Trading
TR00001017,2024-10-15,CL000005,1136.07,CHF,Credit,Wire Transfer,PNYFNOZI,Elite Trading
TR00001018,2024-10-08,CL000005,979.86,USD,Debit,Wire Transfer,LJNIAF43,International Commerce Partners
TR00001019,2024-10-25,CL000005,554.49,CHF,Debit,Wire Transfer,ORIMVELR,Premier Capital
TR00001020,2024-10-17,CL000005,346.87,CHF,Debit,Wire Transfer,XZNXSYVX,First Partners
TR00001021,2024-10-06,CL000005,1766.6,GBP,Credit,Wire Transfer,ZVWAAT0L,Prime GmbH
TR00001022,2024-10-30,CL000005,4742.65,CHF,Credit,Wire Transfer,UWVGBE2D,Alpha Trade GmbH
TR00001023,2024-10-09,CL000005,8602.86,CAD,Credit,Wire Transfer,SHIKSGOK,Alpha Trade Group
TR00001024,2024-10-29,CL000005,2531.99,EUR,Credit,Cash,HPMNLYP0,Alpha Investments
TR00001025,2024-10-19,CL000005,1061.51,JPY,Credit,Wire Transfer,NPZYJP1Y,International Capital
TR00001026,2024-10-27,CL000005,1146.99,USD,Credit,Wire Transfer,PATVBYU1,First Investments
TR00001027,2024-10-18,CL000005,1826.59,EUR,Credit,Wire Transfer,MTWDUSFY,Global Limited
TR00001028,2024-10-13,CL000005,1557.46,CHF,Debit,Wire Transfer,RVUFGBBL,Prime Trade Capital
TR00001029,2024-10-11,CL000005,798.7,USD,Credit,Wire Transfer,SBRQAFD1,Elite Trade Partners
TR00001030,2024-10-06,CL000005,881.88,USD,Debit,Security,DDROYEHZ,International GmbH
TR00001031,2024-10-25,CL000005,1385.57,CAD,Credit,Cash,DXGPNOWP,Prime Capital
TR00001032,2024-10-19,CL000005,5211.7,CHF,Debit,Wire Transfer,SZNHLYDG,Alpha Trading
TR00001033,2024-10-10,CL000005,896.85,GBP,Debit,Wire Transfer,OITLIR36,International Commerce Investments
TR00001034,2024-11-03,CL000005,265.59,CHF,Debit,Wire Transfer,FIPFAUHC,Omega Trading
TR00001035,2024-11-02,CL000005,1527.08,CHF,Debit,Cheque,NPZYJP1Y,United GmbH
TR00001036,2024-10-13,CL000005,1316.72,USD,Debit,Security,LJNIAF43,Omega Corp
TR00001037,2024-11-26,CL000005,3828.21,EUR,Debit,Cash,,
TR00001038,2024-11-09,CL000005,2430.25,CHF,Debit,Wire Transfer,YUQRCU7P,International Investments
TR00001039,2024-12-03,CL000005,1205.84,JPY,Credit,Cash,MTWDUSFY,Omega Trading
TR00001040,2024-12-01,CL000005,1682.2,USD,Debit,Security,SKRJJP6Q,International Trade GmbH
TR00001041,2024-11-16,CL000005,630.88,EUR,Credit,Wire Transfer,ZVWAAT0L,United Financial Limited
TR00001042,2024-11-13,CL000005,720.28,GBP,Credit,Wire Transfer,UJXHSDVP,Prime Holdings
TR00001043,2024-11-30,CL000005,1876.89,JPY,Debit,Wire Transfer,WGELNLPK,First Capital
TR00001044,2024-12-01,CL000005,2609.03,CHF,Credit,Security,SHIKSGOK,Global GmbH
TR00001045,2024-11-21,CL000005,982.64,CHF,Credit,Wire Transfer,NPZYJP1Y,Beta Investments
TR00001046,2024-12-03,CL000005,12060.01,EUR,Credit,Cash,OBYCSD1W,United Capital
TR00001047,2024-11-30,CL000005,18593.4,CHF,Credit,Security,LIIZRUOS,Alpha Trading
TR00001048,2024-11-25,CL000005,376.81,CHF,Credit,Security,PATVBYU1,International Holdings
TR00001049,2024-11-29,CL000005,208.09,EUR,Credit,Wire Transfer,ZVZYNL4F,First Commerce Holdings
TR00001050,2024-12-04,CL000005,6377.78,EUR,Debit,Wire Transfer,CAIRAF8O,First Corp
TR00001051,2024-11-11,CL000005,1149.83,EUR,Debit,Cash,,
TR00001052,2024-11-06,CL000005,862.99,USD,Debit,Wire Transfer,AIAYCA53,Elite Wealth Limited
TR00001053,2024-11-19,CL000005,759.54,GBP,Debit,Wire Transfer,CAIRAF8O,Elite Holdings
TR00001054,2024-11-13,CL000005,563.19,JPY,Credit,Cheque,KRHINO1C,Alpha Limited
TR00001055,2024-11-20,CL000005,1548.38,USD,Credit,Wire Transfer,YGIUHKFB,Omega GmbH
TR00001056,2024-11-27,CL000005,272.97,EUR,Debit,Cash,,
TR00001057,2024-11-07,CL000005,630.34,USD,Debit,Security,QMUCLYHY,Beta Corp
TR00001058,2024-12-26,CL000005,3242.65,GBP,Debit,Wire Transfer,MWXESEAO,International Financial Capital
TR00001059,2024-12-20,CL000005,1306.93,CHF,Credit,Security,QFXWAUCI,United Group
TR00001060,2024-12-08,CL000005,531.33,CHF,Debit,Wire Transfer,NEXWCAKX,Global Investments
TR00001061,2024-12-12,CL000005,844.29,GBP,Debit,Wire Transfer,KRHINO1C,Alpha Commerce Investments
TR00001062,2024-12-05,CL000005,867.75,EUR,Credit,Cheque,GFYWGBLX,Prime Holdings
TR00001063,2024-12-25,CL000005,554.11,USD,Credit,Wire Transfer,SKRJJP6Q,Beta Trading
TR00001064,2024-12-28,CL000005,406.86,CHF,Credit,Security,JGHPVE5U,Global Corp
TR00001065,2024-12-19,CL000005,2817.76,EUR,Credit,Wire Transfer,CHHIKPTE,Elite Capital
TR00001066,2024-12-06,CL000005,21637.91,EUR,Debit,Wire Transfer,OBYCSD1W,Prime Asset Limited
TR00001067,2024-12-23,CL000005,438.32,CHF,Credit,Security,YGIUHKFB,Elite Commerce Trading
TR00001068,2024-12-20,CL000005,375.68,CHF,Credit,Cash,UFAFBEL5,Prime GmbH
TR00001069,2024-12-30,CL000005,901.57,USD,Debit,Cash,,
